藏文	汉译	频次	出处	已入主表
རྒྱུ་མཚན	原由	27	宝性论大疏	是
རྒྱུན་མི་འཆད	相续不断	27	宝性论大疏	是
ཡང་དག	真实	26	宝性论大疏、极广胜乘中观决定	是
རྣམ་པ	差别	26	宝性论大疏、极广胜乘中观决定	是
རིམ་པ	次第	26	宝性论大疏、极广胜乘中观决定	是
ཆོས་ཉིད	自性	25	宝性论大疏、极广胜乘中观决定	是
ངོ་བོ་ཉིད	自性	25	宝性论大疏、极广胜乘中观决定	是
ཇི་ལྟར	如何	25	宝性论大疏、极广胜乘中观决定	是
སྤྱོད་ཡུལ	行境	25	宝性论大疏、极广胜乘中观决定	是
རྣམ་གཞག	建立	25	宝性论大疏	是
མྱང་འདས	涅槃	25	宝性论大疏	是
འཁོར་ལོ	法轮	24	宝性论大疏	是
ཀུན་ཏུ	一切	23	宝性论大疏、极广胜乘中观决定	是
ཉེས་པ	过失	23	宝性论大疏、极广胜乘中观决定	是
འགྲོ་བ	众生	23	宝性论大疏、极广胜乘中观决定	是
འགལ་བ	相违	23	宝性论大疏、极广胜乘中观决定	是
ཀུན་གཞི	阿赖耶识	23	宝性论大疏、极广胜乘中观决定	是
ཕ་རོལ་ཏུ་ཕྱིན་པ	波罗蜜多	23	宝性论大疏	是
ཐམས་ཅད	所有	22	宝性论大疏、极广胜乘中观决定	是
དབྱེར་མེད	无别	22	宝性论大疏、极广胜乘中观决定	是
ཇི་ལྟ་བ་བཞིན	如实	22	宝性论大疏	是
རིམ་པ་བཞིན	依次	22	宝性论大疏	是
སྟོན་པ	大师	22	宝性论大疏	是
མི་རྟག་པ	无常	21	宝性论大疏、极广胜乘中观决定	是
ཟག་པ	烦恼	21	宝性论大疏、极广胜乘中观决定	是
བདེན་པ	真实	21	宝性论大疏、极广胜乘中观决定	是
མཐར་ཕྱིན	究竟	21	宝性论大疏、极广胜乘中观决定	是
བརྒྱ་བྱིན	帝释	21	宝性论大疏、极广胜乘中观决定	是
རིམ་གྱིས	渐次	21	宝性论大疏	是
དགྲ་བཅོམ་པ	阿罗汉	21	宝性论大疏	是
དང་པོ	第一	20	宝性论大疏、极广胜乘中观决定	是
ལོངས་སྤྱོད	受用	20	宝性论大疏、极广胜乘中观决定	是
ཐེག་པ	小乘	20	宝性论大疏、极广胜乘中观决定	是
གང་ཞེ་ན	云何	20	宝性论大疏、极广胜乘中观决定	是
ཕུན་སུམ་ཚོགས་པ	圆满	20	宝性论大疏	是
ས་བཅུ	十地	20	宝性论大疏	是
རྟོགས་པ	通达	20	宝性论大疏	是
ཀུན་སློང	等起	20	宝性论大疏	是
ཉོན་མོངས	杂染	20	宝性论大疏	是
ངེས་དོན	了义	19	宝性论大疏、极广胜乘中观决定	是
སྤྲོས་པ	戏论	19	宝性论大疏、极广胜乘中观决定	是
རྒྱུ་རྐྱེན	因缘	19	宝性论大疏、极广胜乘中观决定	是
འཕགས་པ	圣者	19	宝性论大疏、极广胜乘中观决定	是
རྡོ་རྗེ	金刚	19	宝性论大疏	是
ཚུལ་བཞིན	如理	18	宝性论大疏、极广胜乘中观决定	是
སྐད་ཅིག	刹那	18	宝性论大疏、极广胜乘中观决定	是
གཞན་དབང	依他起	18	宝性论大疏、极广胜乘中观决定	是
