藏文	汉译	频次	出处	已入主表
དགྲ་བཅོམ་པའི་འབྲས་བུ	阿罗汉果	6	宝性论大疏	是
སོ་སོ	分别	6	宝性论大疏	是
རྒྱ་ཆེ་བ	广大	6	宝性论大疏	是
གནས་སྐབས	暂时	6	宝性论大疏	是
ཡུལ་ཅན	有境	6	宝性论大疏	是
སྒྲིབ་གཉིས	二障	6	宝性论大疏	是
སྒོ་གསུམ	三门	6	宝性论大疏	是
གང་ཡིན	所有	6	宝性论大疏	是
གུས་པ	恭敬	6	宝性论大疏	是
ཉན་ཐོས་ཀྱི་ཐེག་པ	声闻乘	6	宝性论大疏	是
སྔ་ཕྱི	前后	6	宝性论大疏	是
ཆོས་ཉིད	空性	6	宝性论大疏	是
ཕ་རོལ་ཏུ་ཕྱིན་པ	般若波罗蜜多	6	宝性论大疏	是
འཚང་རྒྱ་བ	成佛	6	宝性论大疏	是
དྲང་སྲོང་ཆེན་པོ	大仙	6	宝性论大疏	是
འཁོར་ལོས་བསྒྱུར་བ	转轮王	6	宝性论大疏	是
ལྷའི་མིག	天眼	6	宝性论大疏	是
རྡུལ་ཕྲ་རབ	极微尘	6	宝性论大疏	是
དགོས་པ	需要	6	宝性论大疏	是
དགེ་བའི་ལས	善业	6	宝性论大疏	是
ལམ་འབྲས	道果	5	宝性论大疏、极广胜乘中观决定	是
དཔག་མེད	无量	5	极广胜乘中观决定	是
བླང་དོར	取舍	5	宝性论大疏、极广胜乘中观决定	是
མི་འགྱུར་བ	不变	5	宝性论大疏、极广胜乘中观决定	是
ལུང་མ་བསྟན	无记	5	极广胜乘中观决定	是
དེ་ལས	从彼	5	宝性论大疏、极广胜乘中观决定	是
ཉི་ཤུ	二十	5	宝性论大疏、极广胜乘中观决定	是
ཀུན་འབྱུང	烦恼	5	宝性论大疏、极广胜乘中观决定	是
སྐྱེས་བུ	丈夫	5	宝性论大疏、极广胜乘中观决定	是
མངོན་ཤེས	神通	5	极广胜乘中观决定	是
སློབ་དཔོན	阿阇黎	5	极广胜乘中观决定	是
འཁོར་བ	轮回	5	极广胜乘中观决定	是
རྣམ་པར་སྨིན་པ	异熟	5	宝性论大疏、极广胜乘中观决定	是
སྒྲུབ་བྱེད	能成	5	宝性论大疏、极广胜乘中观决定	是
དབང་ཤེས	根识	5	宝性论大疏、极广胜乘中观决定	是
ལས་འབྲས	业果	5	宝性论大疏、极广胜乘中观决定	是
བསམ་གཏན	禅定	5	极广胜乘中观决定	是
འབྲས་བུ	种子	5	宝性论大疏、极广胜乘中观决定	是
ཆོས་ལྔ	五法	5	宝性论大疏、极广胜乘中观决定	是
རྗེས་ཐོབ	后得	5	宝性论大疏、极广胜乘中观决定	是
ཀུན་བརྟགས	依他起	5	极广胜乘中观决定	是
ཀུན་རྫོབ་བདེན་པ	世俗谛	5	宝性论大疏、极广胜乘中观决定	是
ངན་འགྲོ	恶趣	5	宝性论大疏、极广胜乘中观决定	是
འཁྲུལ་བ	迷乱	5	极广胜乘中观决定	是
གཟུང་བ	所取	5	宝性论大疏、极广胜乘中观决定	是
འདུས་བྱས	有为法	5	宝性论大疏、极广胜乘中观决定	是
འོད་གསལ་བ	光明	5	宝性论大疏、极广胜乘中观决定	是
དབང་བསྒྱུར	自在	5	宝性论大疏、极广胜乘中观决定	是
ངེས་པ	真实	5	宝性论大疏、极广胜乘中观决定	是
འཁོར་གསུམ	三轮	5	宝性论大疏、极广胜乘中观决定	是
ལོག་ལྟ	邪见	5	宝性论大疏、极广胜乘中观决定	是
ཐོབ་པ	成就	5	宝性论大疏、极广胜乘中观决定	是
དེ་ལས	相反	5	宝性论大疏、极广胜乘中观决定	是
བརྗོད་པ	所说	5	宝性论大疏、极广胜乘中观决定	是
སེམས་བསྐྱེད	发心	5	宝性论大疏、极广胜乘中观决定	是
དམ་ཆོས	正法	5	宝性论大疏	是
དོན་དུ	为了	5	宝性论大疏	是
དགོངས་པ	深密	5	宝性论大疏	是
ཉན་ཐོས་ཀྱི་བྱང་ཆུབ	声闻菩提	5	宝性论大疏	是
ཐ་དད་པ	差别	5	宝性论大疏	是
རྒྱུ་གཉིས	二因	5	宝性论大疏	是
རྗེས་ཐོབ	后得智	5	宝性论大疏	是
རང་སྟོབས	自力	5	宝性论大疏	是
འདི་ནི	此乃	5	宝性论大疏	是
མངའ་བ	具有	5	宝性论大疏	是
འགྲུབ་པ	成就	5	宝性论大疏	是
ལྷན་ཅིག་བྱེད་རྐྱེན	俱有缘	5	宝性论大疏	是
བྱང་ཆུབ་ཀྱི་ཤིང	菩提树	5	宝性论大疏	是
དེ་ལྟ་ན	若尔	5	宝性论大疏	是
མི་གཙང་བ	不净	5	宝性论大疏	是
རིམ་པ་བཞིན	如其次第	5	宝性论大疏	是
མཚན་མ་མེད་པ	无相	5	宝性论大疏	是
གང་ཟག་གི་བདག་མེད	补特伽罗无我	5	宝性论大疏	是
འགལ་རྐྱེན	违缘	5	宝性论大疏	是
མི་འཇིགས་པ་བཞི	四无畏	5	宝性论大疏	是
མི་ལྡོག་པ	不退	5	宝性论大疏	是
ལྷུན་གྱིས་གྲུབ་པ	任运	5	宝性论大疏	是
རྟེན་འབྲེལ་ཡན་ལག་བཅུ་གཉིས	十二缘起支	5	宝性论大疏	是
འཇིག་རྟེན་ལས་འདས་པ	出世间	5	宝性论大疏	是
བྱ་བ	事业	5	宝性论大疏	是
ནུས་པ	功用	5	宝性论大疏	是
གནོད་པ	损害	5	宝性论大疏	是
དུས་མཉམ་དུ	同时	5	宝性论大疏	是
ཉན་ཐོས་འཕགས་པ	声闻圣者	5	宝性论大疏	是
བྱེད་ལས	作业	5	宝性论大疏	是
ཁྱིམ་བདག	长者	5	宝性论大疏	是
རྟོགས་པའི་ཆོས	证法	5	宝性论大疏	是
གསང་བ	秘密	5	宝性论大疏	是
གནས་འགྱུར	转依	5	宝性论大疏	是
ཇི་ལྟར	犹如	5	宝性论大疏	是
མུ་སྟེགས་པ	外道	5	宝性论大疏	是
ཐ་དད་པ	不同	5	宝性论大疏	是
སྐུར་འདེབས	损减	5	宝性论大疏	是
དགའ་ལྡན	喜足天	5	宝性论大疏	是
སྒྲ་བརྙན	回响	5	宝性论大疏	是
ཀུན་མཁྱེན	遍知	4	宝性论大疏、极广胜乘中观决定	是
བླ་མེད	无上	4	宝性论大疏、极广胜乘中观决定	是
ངེས་འབྱུང	出离	4	宝性论大疏、极广胜乘中观决定	是
མཚོན་བྱ	所表	4	极广胜乘中观决定	是
སྐྱེས་བུ	士夫	4	宝性论大疏、极广胜乘中观决定	是
དམྱལ་བ	地狱	4	宝性论大疏、极广胜乘中观决定	是
ཀུན་ཁྱབ	周遍	4	极广胜乘中观决定	是
མངོན་པར་གྲུབ་པ	成就	4	宝性论大疏、极广胜乘中观决定	是
རིག་པར་བྱ	所知	4	宝性论大疏、极广胜乘中观决定	是
འགྲོ་བ	世间	4	宝性论大疏、极广胜乘中观决定	是
རྒྱ་མཚོ	大海	4	宝性论大疏、极广胜乘中观决定	是
མཐའ་མེད	无边	4	宝性论大疏、极广胜乘中观决定	是
སྲིད་པའི་ཡན་ལག	有支	4	宝性论大疏、极广胜乘中观决定	是
དུས་གསུམ	三世	4	宝性论大疏、极广胜乘中观决定	是
མངོན་སུམ	现量	4	宝性论大疏、极广胜乘中观决定	是
ཡིད་ཤེས	意识	4	极广胜乘中观决定	是
ཐལ་འགྱུར	应成	4	宝性论大疏、极广胜乘中观决定	是
ཐོས་པ	听闻	4	宝性论大疏、极广胜乘中观决定	是
རྣམ་པ	行相	4	极广胜乘中观决定	是
གལ་ཏེ	倘若	4	宝性论大疏、极广胜乘中观决定	是
ཉེ་བའི་ཉོན་མོངས་པ	随烦恼	4	宝性论大疏、极广胜乘中观决定	是
གནས་ངན་ལེན	粗重	4	宝性论大疏、极广胜乘中观决定	是
རྣམ་གྲངས	异名	4	宝性论大疏、极广胜乘中观决定	是
ཀུན་རྟོག	遍计	4	极广胜乘中观决定	是
མཚན་ཉིད་གསུམ	三性	4	宝性论大疏、极广胜乘中观决定	是
དེ་ཉིད	本身	4	宝性论大疏、极广胜乘中观决定	是
དེ་དག	彼彼	4	宝性论大疏、极广胜乘中观决定	是
ཚོགས་དྲུག	六聚	4	宝性论大疏、极广胜乘中观决定	是
བྱེད་རྒྱུ	能作因	4	极广胜乘中观决定	是
བཅུ་བཞི	十四	4	宝性论大疏、极广胜乘中观决定	是
མི་མཐོང	不见	4	宝性论大疏、极广胜乘中观决定	是
ཆགས་བྲལ	离贪	4	宝性论大疏、极广胜乘中观决定	是
ཕྱི་ནང	内外	4	极广胜乘中观决定	是
མདོར་ན	总之	4	宝性论大疏、极广胜乘中观决定	是
མ་འོངས	未来	4	宝性论大疏、极广胜乘中观决定	是
ཡི་དྭགས	饿鬼	4	宝性论大疏、极广胜乘中观决定	是
གཙོ་བོ	自性	4	宝性论大疏、极广胜乘中观决定	是
མཐའ་བཞི	四边	4	宝性论大疏、极广胜乘中观决定	是
ཕྱི་མ	后后	4	宝性论大疏、极广胜乘中观决定	是
བདུན་པ	第七	4	宝性论大疏、极广胜乘中观决定	是
དེ་དང་དེ	彼彼	4	宝性论大疏、极广胜乘中观决定	是
ཆོས་དབྱིངས	自性	4	宝性论大疏、极广胜乘中观决定	是
ཆུ་ཟླ	水月	4	宝性论大疏、极广胜乘中观决定	是
མོས་པ	信解	4	宝性论大疏、极广胜乘中观决定	是
དཔག་ཏུ་མེད་པ	无量	4	宝性论大疏、极广胜乘中观决定	是
མོས་སྤྱོད	胜解行	4	极广胜乘中观决定	是
ཇི་སྙེད	所有	4	宝性论大疏、极广胜乘中观决定	是
དགུ་པ	第九	4	宝性论大疏、极广胜乘中观决定	是
བྱང་སེམས	菩萨	4	宝性论大疏、极广胜乘中观决定	是
དགེ་རྩ	善根	4	宝性论大疏、极广胜乘中观决定	是
གསལ་བ	显明	4	宝性论大疏、极广胜乘中观决定	是
རྡོ་རྗེ་ལྟ་བུའི་ཏིང་ངེ་འཛིན	金刚喻定	4	宝性论大疏、极广胜乘中观决定	是
ཡུན་རིང	长久	4	宝性论大疏、极广胜乘中观决定	是
དྲང་བའི་དོན	不了义	4	宝性论大疏	是
དོན་དམ་པ	解脱	4	宝性论大疏	是
སྐྱབས་འགྲོ	归依	4	宝性论大疏	是
སློབ་མ	弟子	4	宝性论大疏	是
དཀོན་མཆོག	法宝	4	宝性论大疏	是
བཞི་པོ	四者	4	宝性论大疏	是
སོ་སོ	不同	4	宝性论大疏	是
དེ་ལ་བརྟེན་ནས	由此	4	宝性论大疏	是
ཐོབ་པ	获得	4	宝性论大疏	是
འཇིག་རྟེན་ལས་འདས་པའི་ལམ	出世间道	4	宝性论大疏	是
ཐོག་མར	最初	4	宝性论大疏	是
རེ་ཤིག	暂时	4	宝性论大疏	是
ལྟ་ཅི་སྨོས	何况	4	宝性论大疏	是
ཉེར་ལེན་གྱི་རྒྱུ	近取因	4	宝性论大疏	是
བྱང་ཆུབ་སེམས་དཔའི་ས	菩萨地	4	宝性论大疏	是
ཚད་མེད	无量	4	宝性论大疏	是
རིགས་པ	应理	4	宝性论大疏	是
མི་འགལ་བ	不相违	4	宝性论大疏	是
གྲུབ་པ	圣者	4	宝性论大疏	是
ཕྲ་རགས	粗细	4	宝性论大疏	是
དགེ་བའི་ཆོས	善法	4	宝性论大疏	是
འགྲོ་བ	有情	4	宝性论大疏	是
ལྟ་བ	邪见	4	宝性论大疏	是
བྱ་བ	所谓	4	宝性论大疏	是
སྤངས་རྟོགས	断证	4	宝性论大疏	是
ཤེས་རབ	自相	4	宝性论大疏	是
ལོག་རྟོག	邪分别	4	宝性论大疏	是
དམ་བཅའ	立宗	4	宝性论大疏	是
འཇིག་རྟེན་ལས་འདས	圣者	4	宝性论大疏	是
འཕགས་པ	声闻圣者	4	宝性论大疏	是
ཐུན་མོང་མ་ཡིན་པ	不共	4	宝性论大疏	是
ཅིག་ཅར	同时	4	宝性论大疏	是
ཀུན་རྫོབ་བྱང་ཆུབ་ཀྱི་སེམས	世俗菩提心	4	宝性论大疏	是
རང་སངས་རྒྱས་ཀྱི་ཐེག་པ	独觉乘	4	宝性论大疏	是
བསྔོ་བ	回向	4	宝性论大疏	是
བསྟན་བཅོས	经论	4	宝性论大疏	是
ལུང་གི་ཆོས	教法	4	宝性论大疏	是
འདི་ལྟ་སྟེ	如是	4	宝性论大疏	是
སྤྱོད་པ	事业	4	宝性论大疏	是
གཤེགས་པ	如来	4	宝性论大疏	是
ལྡན་པ	相应	4	宝性论大疏	是
གང་དག	诸凡	4	宝性论大疏	是
ནམ་མཁའ་མཛོད	虚空藏	4	宝性论大疏	是
སྣོད་ཀྱི་འཇིག་རྟེན	器世间	4	宝性论大疏	是
སྨིན་པ	成熟	4	宝性论大疏	是
ཁྱད་པར་ཅན	殊胜	4	宝性论大疏	是
ཤེས་པ	知晓	4	宝性论大疏	是
གསེར་གྱི་གཟུགས	金像	4	宝性论大疏	是
ཟག་པ་ཟད་པ	漏尽	4	宝性论大疏	是
འཇིག་པའི་ཆོས	坏法	4	宝性论大疏	是
རང་གི་ངང	自然	4	宝性论大疏	是
འདོད་ཁམས	欲界	4	宝性论大疏	是
བྱང་ཆུབ་མཆོག	大菩提	4	宝性论大疏	是
རྫོགས་སོ	圆满	4	宝性论大疏	是
ཡབ་སྲས	父子	4	宝性论大疏	是
ཁྱབ་བདག	遍主	4	宝性论大疏	是
བག་མེད	放逸	4	宝性论大疏	是
ཕན་གནོད	损益	4	宝性论大疏	是
ཚུལ་ཁྲིམས	戒律	3	宝性论大疏、极广胜乘中观决定	是
ང་རྒྱལ	我慢	3	宝性论大疏、极广胜乘中观决定	是
ཀླུ་སྒྲུབ	龙树	3	极广胜乘中观决定	是
ཤིང་རྟ	大车	3	宝性论大疏、极广胜乘中观决定	是
སྒྲིབ་པ	障蔽	3	宝性论大疏、极广胜乘中观决定	是
རྟག་ཆད	常断	3	极广胜乘中观决定	是
བདག་གཞན	自他	3	宝性论大疏、极广胜乘中观决定	是
ཆོས་ཁམས	法界	3	宝性论大疏、极广胜乘中观决定	是
འདོད་ཆགས	贪欲	3	宝性论大疏、极广胜乘中观决定	是
འགྱུར་བ	变化	3	宝性论大疏、极广胜乘中观决定	是
རྗོད་བྱེད	能诠	3	宝性论大疏、极广胜乘中观决定	是
མང་པོ	众多	3	宝性论大疏、极广胜乘中观决定	是
ཐུན་མོང	共通	3	极广胜乘中观决定	是
མདོར་བསྡུས	略摄	3	宝性论大疏、极广胜乘中观决定	是
ཟག་མེད	无漏	3	宝性论大疏、极广胜乘中观决定	是
ཡིད་ཀྱི་ལུས	意生身	3	极广胜乘中观决定	是
ཤེས་པ	智慧	3	极广胜乘中观决定	是
རིན་ཆེན	珍宝	3	宝性论大疏、极广胜乘中观决定	是
སྒྱུ་མ	如幻者	3	极广胜乘中观决定	是
རྣམ་པ	方式	3	极广胜乘中观决定	是
ཆ་ཤས	支分	3	极广胜乘中观决定	是
ནད་མེད	无病	3	宝性论大疏、极广胜乘中观决定	是
ཉོན་ཡིད	染污意	3	极广胜乘中观决定	是
ལུས་སེམས	身心	3	宝性论大疏、极广胜乘中观决定	是
ཕན་ཚུན	互相	3	极广胜乘中观决定	是
བདག་འཛིན	我执	3	宝性论大疏、极广胜乘中观决定	是
མཚན་མེད	无相	3	极广胜乘中观决定	是
གཉིས་པོ	二者	3	宝性论大疏、极广胜乘中观决定	是
བདེ་སྡུག	苦乐	3	宝性论大疏、极广胜乘中观决定	是
བསྐྱེད་བྱ	所生	3	宝性论大疏、极广胜乘中观决定	是
ཐར་བ	解脱	3	极广胜乘中观决定	是
རྨོངས་པ	愚痴	3	宝性论大疏、极广胜乘中观决定	是
ཀུན་འགྲོ	遍行	3	极广胜乘中观决定	是
བྱེད་པ	能作	3	宝性论大疏、极广胜乘中观决定	是
ཐ་མ	下劣	3	宝性论大疏、极广胜乘中观决定	是
བྱ་བ	作用	3	宝性论大疏、极广胜乘中观决定	是
ཇི་ལྟར	何故	3	宝性论大疏、极广胜乘中观决定	是
དེ་ལས	颠倒	3	宝性论大疏、极广胜乘中观决定	是
རེས་འགའ	一类	3	宝性论大疏、极广胜乘中观决定	是
ཡོ་བྱད	资具	3	宝性论大疏、极广胜乘中观决定	是
ལྟ་བ	观察	3	宝性论大疏、极广胜乘中观决定	是
བཤེས་གཉེན	善知识	3	宝性论大疏、极广胜乘中观决定	是
ཆོས་ཀྱི་བདག་འཛིན	法我执	3	宝性论大疏、极广胜乘中观决定	是
འཛིན་པ	我执	3	宝性论大疏、极广胜乘中观决定	是
ཚོགས་པ	聚合	3	宝性论大疏、极广胜乘中观决定	是
འདས་པ	过去	3	宝性论大疏、极广胜乘中观决定	是
དགག་བྱ	所遮	3	宝性论大疏、极广胜乘中观决定	是
ཡང་དག་ཀུན་རྫོབ	正世俗	3	宝性论大疏、极广胜乘中观决定	是
འཛིན་པ	能取	3	极广胜乘中观决定	是
དེ་ལྟ་བུ	如是	3	宝性论大疏、极广胜乘中观决定	是
མིག་ཡོར	障眼	3	极广胜乘中观决定	是
བརྟན་པོ	坚固	3	宝性论大疏、极广胜乘中观决定	是
རིགས་གཉིས	二种	3	宝性论大疏、极广胜乘中观决定	是
སྡིག་གྲོགས	恶友	3	宝性论大疏、极广胜乘中观决定	是
དེ་ནས	此后	3	极广胜乘中观决定	是
འཛིན་པ	执者	3	宝性论大疏、极广胜乘中观决定	是
རྒྱལ་སྲས	佛子	3	宝性论大疏、极广胜乘中观决定	是
སྤྱོད་ལམ	威仪	3	宝性论大疏、极广胜乘中观决定	是
ལྷག་མེད	无余	3	宝性论大疏、极广胜乘中观决定	是
ལུང་སྟོན	授记	3	宝性论大疏、极广胜乘中观决定	是
རྫོགས་པ	成就	3	宝性论大疏、极广胜乘中观决定	是
མཆོད་པ	供养	3	宝性论大疏、极广胜乘中观决定	是
སྤྲུལ་པ	化身	3	宝性论大疏、极广胜乘中观决定	是
འཇིག་པ	坏灭	3	宝性论大疏、极广胜乘中观决定	是
ཚངས་པ	梵天	3	宝性论大疏、极广胜乘中观决定	是
བརྩོན་པ	精进	3	宝性论大疏、极广胜乘中观决定	是
བདག་ཅག	我等	3	宝性论大疏、极广胜乘中观决定	是
བློ་གྲོས	智慧	3	宝性论大疏	是
ད་ལྟར	现在	3	宝性论大疏	是
ཕྱི་རབས	后代	3	宝性论大疏	是
དོན་དམ་པའི་ཆོས	胜义法	3	宝性论大疏	是
ཡང་དག་པའི་ལྟ་བ	正见	3	宝性论大疏	是
ཐོས་པའི་ཤེས་རབ	闻慧	3	宝性论大疏	是
གཞལ་ཡས་ཁང	无量宫	3	宝性论大疏	是
སྐྱེ་བ	出生	3	宝性论大疏	是
མ་འོངས་པ	未来	3	宝性论大疏	是
ཕ་རོལ་ཏུ་ཕྱིན་པ	究竟	3	宝性论大疏	是
འདུས་པ	集会	3	宝性论大疏	是
གླིང་བཞི	四洲	3	宝性论大疏	是
འཇིག་རྟེན་གྱི་ཁམས	世间	3	宝性论大疏	是
སྟོང་གསུམ	世界	3	宝性论大疏	是
འཇིག་རྟེན་གྱི་ཁམས	世界	3	宝性论大疏	是
རྣམ་པར་ཐར་པའི་སྒོ	解脱门	3	宝性论大疏	是
མཁྱེན་པ	智慧	3	宝性论大疏	是
གདོད་མ་ནས	本来	3	宝性论大疏	是
ཆེན་པོ	主要	3	宝性论大疏	是
རྒྱུ་མཚན་ཡང་དག	正因	3	宝性论大疏	是
ཆགས་པ	贪着	3	宝性论大疏	是
དམན་པ	下劣	3	宝性论大疏	是
ཆེད་དུ་བྱ་བ	专为	3	宝性论大疏	是
ཆོ་འཕྲུལ	神变	3	宝性论大疏	是
ཕྲ་བ	微细	3	宝性论大疏	是
དམུས་ལོང	生盲	3	宝性论大疏	是
བཤད་པ	本释	3	宝性论大疏	是
འཆད་པ	解说	3	宝性论大疏	是
ཡོན་ཏན	说法	3	宝性论大疏	是
བརྩེ་བ	悲悯	3	宝性论大疏	是
ཇི་སྐད	所谓	3	宝性论大疏	是
སྐྱེ་བ་མེད་པ	无生	3	宝性论大疏	是
གང་ཡང	随一	3	宝性论大疏	是
མན་ཆད་དུ	以下	3	宝性论大疏	是
གསལ་བ	光明	3	宝性论大疏	是
འདོད་ཆགས་དང་བྲལ་བ	离贪	3	宝性论大疏	是
བརྗོད་པ	诠说	3	宝性论大疏	是
གང་ཟག་གི་བདག་འཛིན	补特伽罗我执	3	宝性论大疏	是
ཅིག་ཤོས	反面	3	宝性论大疏	是
འོག་མ	差别	3	宝性论大疏	是
ཇི་སྙེད་ཡོད་པ	尽所有	3	宝性论大疏	是
རྫུ་འཕྲུལ	神变	3	宝性论大疏	是
སྐྱབས་གསུམ	三宝	3	宝性论大疏	是
ལྷ་མ་ཡིན	非天	3	宝性论大疏	是
ཁྱབ་པ་འདུ་བྱེད་ཀྱི་སྡུག་བསྔལ	遍行苦	3	宝性论大疏	是
སྐྱབས་གསུམ	三归依	3	宝性论大疏	是
བསྟན་པ	佛教	3	宝性论大疏	是
བྱེ་བྲག	分别	3	宝性论大疏	是
ལྷག་མེད་མྱང་འདས	无余涅槃	3	宝性论大疏	是
མི་གནས་པ	不住	3	宝性论大疏	是
ཉན་ཐོས་ཀྱི་ལམ	声闻道	3	宝性论大疏	是
བླ་ན་མེད་པ	无上正等菩提	3	宝性论大疏	是
ཟག་པ	染污	3	宝性论大疏	是
སངས་རྒྱས་པ	成佛	3	宝性论大疏	是
འདོད་པ	欲界	3	宝性论大疏	是
དགེ་བའི་བཤེས་གཉེན	善知识	3	宝性论大疏	是
དག་པ་གཉིས་ལྡན	所知	3	宝性论大疏	是
རྣམ་མཁྱེན	遍智	3	宝性论大疏	是
ངེས་དོན་གྱི་མདོ་སྡེ	了义经	3	宝性论大疏	是
གཞན་དུ་ན	否则	3	宝性论大疏	是
ཐེག་ཆེན་སེམས་བསྐྱེད	大乘发心	3	宝性论大疏	是
དེ་སྲིད་དུ	乃至	3	宝性论大疏	是
མདོ་སྡེ་རྒྱན	经庄严论	3	宝性论大疏	是
འཕེལ་བ	增长	3	宝性论大疏	是
གོ་འཕང	佛位	3	宝性论大疏	是
འཚང་རྒྱ་ངེས	定成佛	3	宝性论大疏	是
རོ་གཅིག	一味	3	宝性论大疏	是
འདུས་མ་བྱས	如虚空	3	宝性论大疏	是
མེ་གསུམ	三火	3	宝性论大疏	是
ཆུའི་དཀྱིལ་འཁོར	水轮	3	宝性论大疏	是
ཇི་ལྟར	如同	3	宝性论大疏	是
སྙོམས་པར་ཞུགས་པ	入定	3	宝性论大疏	是
མཉམ་པ	相等	3	宝性论大疏	是
རྟོགས་པའི་ཡོན་ཏན	证功德	3	宝性论大疏	是
ཚང་བ	圆满	3	宝性论大疏	是
སྦྱིན་པ	布施	3	宝性论大疏	是
སྦུན་པ	糠秕	3	宝性论大疏	是
བདེ་བ	之中	3	宝性论大疏	是
ཀུན་མཁྱེན	遍智	3	宝性论大疏	是
ས་འོག	地下	3	宝性论大疏	是
རྣམ་གྲོལ་ལམ	解脱道	3	宝性论大疏	是
སོ་སོ་སྐྱེ་བོ	愚夫	3	宝性论大疏	是
བདག་ཉིད་ཆེན་པོ	大主宰	3	宝性论大疏	是
རྒྱུ་མཐུན་གྱི་འབྲས་བུ	等流果	3	宝性论大疏	是
འཁོར་འདས	生死涅槃	3	宝性论大疏	是
ལག་རྗེས	成就	3	宝性论大疏	是
ཉི་མ	日光	3	宝性论大疏	是
སྒྲ་གཅན	罗睺	3	宝性论大疏	是
ཡོན་ཏན་ལྔ	五德	3	宝性论大疏	是
རྣལ་འབྱོར་བ	瑜伽师	3	宝性论大疏	是
མཐར་ཕྱིན་པའི་བྱང་ཆུབ་སེམས་དཔའ	究竟菩萨	3	宝性论大疏	是
བླ་མ	师长	3	宝性论大疏	是
འཇིག་རྟེན་པ	世人	3	宝性论大疏	是
སྐལ་ལྡན	有缘	3	宝性论大疏	是
ཚངས་པ	大梵	3	宝性论大疏	是
གཞི་གསུམ	三事	3	宝性论大疏	是
གྲུབ་མཐའ	宗派	3	宝性论大疏	是
ཕྱག་འཚལ	敬礼	2	宝性论大疏、极广胜乘中观决定	是
གང་ཞིག	凡彼	2	宝性论大疏、极广胜乘中观决定	是
ཕྲིན་ལས	事业	2	宝性论大疏、极广胜乘中观决定	是
གྲུབ་མཐའ	悉檀	2	极广胜乘中观决定	是
སྤངས་པ	断除	2	宝性论大疏、极广胜乘中观决定	是
སངས་རྒྱས	佛陀	2	宝性论大疏、极广胜乘中观决定	是
གཡོ་སྒྱུ	谄诳	2	宝性论大疏、极广胜乘中观决定	是
གནས་སྐབས	阶段	2	极广胜乘中观决定	是
ཞི་ལྷག	止观	2	极广胜乘中观决定	是
སྤྱི་ལྡོག	总别	2	极广胜乘中观决定	是
ཡིད་ཀྱི་སྐྱེ་མཆེད	意处	2	极广胜乘中观决定	是
འབྱུང་བ	大种	2	极广胜乘中观决定	是
ཁྲ་བོ	杂色	2	极广胜乘中观决定	是
དངོས་པོ	本身	2	极广胜乘中观决定	是
བྱིས་པ	凡夫	2	极广胜乘中观决定	是
ཐེག་དམན	小乘	2	宝性论大疏、极广胜乘中观决定	是
གཅིག་ཉིད	唯一	2	极广胜乘中观决定	是
ཕལ་ཆེར	大多数	2	极广胜乘中观决定	是
བདེན་པ་བཞི	苦谛	2	极广胜乘中观决定	
སྡུག་བསྔལ་བདེན་པ	苦谛	2	极广胜乘中观决定	是
གཟུགས་མེད་ཁམས	无色界	2	极广胜乘中观决定	是
འདོད་ཡོན	妙欲	2	极广胜乘中观决定	是
སེམས་བྱུང	心所	2	宝性论大疏、极广胜乘中观决定	是
སྡུག་བསྔལ་གྱི་སྡུག་བསྔལ	苦苦	2	极广胜乘中观决定	是
འཕགས་པའི་བདེན་པ	圣谛	2	宝性论大疏、极广胜乘中观决定	是
ཟུང་འཇུག	双运	2	宝性论大疏、极广胜乘中观决定	是
གོམས་པ	修习	2	宝性论大疏、极广胜乘中观决定	是
རེ་རེ	各个	2	极广胜乘中观决定	是
ཚེ་རིང	长寿	2	宝性论大疏、极广胜乘中观决定	是
རྣམ་ཤེས་ཚོགས་བརྒྱད	八识	2	极广胜乘中观决定	是
ཡིན་མོད	虽是	2	宝性论大疏、极广胜乘中观决定	是
ཀུན་གཞིའི་རྣམ་ཤེས	阿赖耶识	2	极广胜乘中观决定	是
ཤེས་པ	意识	2	极广胜乘中观决定	是
བྱེད་པོ	大梵	2	极广胜乘中观决定	是
དེ་འོག	其后	2	极广胜乘中观决定	是
རེས་འགའ	有时	2	极广胜乘中观决定	是
དུས་གཅིག	一时	2	宝性论大疏、极广胜乘中观决定	是
སྔ་ཕྱི	先后	2	宝性论大疏、极广胜乘中观决定	是
ནུས་མེད	无能	2	极广胜乘中观决定	是
གསར་རྙིང	新旧	2	极广胜乘中观决定	是
དགེ་ཆོས	善法	2	极广胜乘中观决定	是
སྣང་བརྙན	影像	2	极广胜乘中观决定	是
ཐ་སྙད	言说	2	宝性论大疏、极广胜乘中观决定	是
དངོས་པོ	事物	2	宝性论大疏、极广胜乘中观决定	是
བཅུ་གཅིག	十一	2	宝性论大疏、极广胜乘中观决定	是
ཡོངས་གྲུབ	空性	2	极广胜乘中观决定	是
རྣམ་གཡེང	散乱	2	宝性论大疏、极广胜乘中观决定	是
དབང་པོ་ལྔ	五根	2	极广胜乘中观决定	是
མཐོ་རིས	善趣	2	宝性论大疏、极广胜乘中观决定	是
དྭངས་པ	澄净	2	极广胜乘中观决定	是
རིག་པ	智慧	2	宝性论大疏、极广胜乘中观决定	是
འོན་ཀྱང	然而	2	宝性论大疏、极广胜乘中观决定	是
གཞན་དབང་གཉིས	依他起	2	极广胜乘中观决定	是
