藏文	汉译	频次	出处
ཡང་དག	真实	26	宝性论大疏、极广胜乘中观决定
རིམ་པ	次第	26	宝性论大疏、极广胜乘中观决定
རྒྱུ་མཚན	原由	26	宝性论大疏
ཀུན་ཏུ	一切	25	宝性论大疏、极广胜乘中观决定
ཆོས་ཉིད	自性	25	宝性论大疏、极广胜乘中观决定
ངོ་བོ་ཉིད	自性	25	宝性论大疏、极广胜乘中观决定
ཇི་ལྟར	如何	25	宝性论大疏、极广胜乘中观决定
སྤྱོད་ཡུལ	行境	25	宝性论大疏、极广胜乘中观决定
གཟུགས་བརྙན	影像	25	宝性论大疏、极广胜乘中观决定
རྣམ་གཞག	建立	25	宝性论大疏
མྱང་འདས	涅槃	25	宝性论大疏
འཁོར་ལོ	法轮	24	宝性论大疏
ཉེས་པ	过失	23	宝性论大疏、极广胜乘中观决定
ཟག་པ	烦恼	23	宝性论大疏、极广胜乘中观决定
འགལ་བ	相违	23	宝性论大疏、极广胜乘中观决定
ཀུན་གཞི	遍基（万法总基·法界义 kun gzhi）｜阿赖耶（ཀུན་གཞི་རྣམ་ཤེས 作阿赖耶识时）·随语境	23	宝性论大疏、极广胜乘中观决定｜他空品三校订本｜人工校正｜多义
རྣམ་པ	差别	23	宝性论大疏、极广胜乘中观决定
ཉོན་མོངས	杂染	23	宝性论大疏
ཕ་རོལ་ཏུ་ཕྱིན་པ	波罗蜜多	23	宝性论大疏
དབྱེར་མེད	无别	22	宝性论大疏、极广胜乘中观决定
སྐུ་གསུམ	三身	22	宝性论大疏、极广胜乘中观决定
ཇི་ལྟ་བ་བཞིན	如实	22	宝性论大疏
རིམ་པ་བཞིན	依次	22	宝性论大疏
མི་རྟག་པ	无常	21	宝性论大疏、极广胜乘中观决定
མཐར་ཕྱིན	究竟	21	宝性论大疏、极广胜乘中观决定
རིམ་གྱིས	渐次	21	宝性论大疏
དགྲ་བཅོམ་པ	阿罗汉	21	宝性论大疏
སོ་སོ་སྐྱེ་བོ	异生	21	宝性论大疏
དང་པོ	第一	20	宝性论大疏、极广胜乘中观决定
ལོངས་སྤྱོད	受用	20	宝性论大疏、极广胜乘中观决定
རྒྱུ་རྐྱེན	因缘	20	宝性论大疏、极广胜乘中观决定
གང་ཞེ་ན	云何	20	宝性论大疏、极广胜乘中观决定
ཕུན་སུམ་ཚོགས་པ	圆满	20	宝性论大疏
ས་བཅུ	十地	20	宝性论大疏
རྟོགས་པ	通达	20	宝性论大疏
ཀུན་སློང	等起	20	宝性论大疏
འཕགས་པ	圣者	19	宝性论大疏、极广胜乘中观决定
རྡོ་རྗེ	金刚	19	宝性论大疏
ངེས་དོན	了义	18	宝性论大疏、极广胜乘中观决定
རྣམ་གྲངས	异门	18	宝性论大疏、极广胜乘中观决定
ཚུལ་བཞིན	如理	18	宝性论大疏、极广胜乘中观决定
སྤྲོས་པ	戏论	18	宝性论大疏、极广胜乘中观决定
བདེན་པ	真实	18	宝性论大疏、极广胜乘中观决定
སྐད་ཅིག	刹那	18	宝性论大疏、极广胜乘中观决定
གཞན་དབང	依他起	18	宝性论大疏、极广胜乘中观决定
ཉེས་དམིགས	过患	18	宝性论大疏、极广胜乘中观决定
མེད་པ	无有	18	宝性论大疏、极广胜乘中观决定
མངོན་སུམ་དུ	现前	18	宝性论大疏、极广胜乘中观决定
གཟུགས་སྐུ	色身	18	宝性论大疏、极广胜乘中观决定
བརྒྱ་བྱིན	帝释	18	宝性论大疏、极广胜乘中观决定
སྤྲོས་བྲལ	离戏	17	宝性论大疏、极广胜乘中观决定
འདུས་བྱས	有为	17	宝性论大疏、极广胜乘中观决定
ཐ་སྙད	名言	17	宝性论大疏、极广胜乘中观决定
འགྲོ་བ	众生	17	宝性论大疏、极广胜乘中观决定
ཆོས་ཅན	有法	17	宝性论大疏、极广胜乘中观决定
ཡིད་བྱེད	作意	17	宝性论大疏、极广胜乘中观决定
དབང་ཕྱུག	自在	17	宝性论大疏、极广胜乘中观决定
ཇི་སྲིད	乃至	17	宝性论大疏、极广胜乘中观决定
རྟོག་པ	分别	17	宝性论大疏、极广胜乘中观决定
གྲོལ་བ	解脱	17	宝性论大疏、极广胜乘中观决定
ཉོན་སྒྲིབ	烦恼障	17	宝性论大疏、极广胜乘中观决定
ཉོན་མོངས	烦恼障	17	宝性论大疏
འཕགས་པ	菩萨圣者	17	宝性论大疏
ཡིད་བཞིན	如意	17	宝性论大疏
སྙིང་རྗེ	悲心	16	宝性论大疏、极广胜乘中观决定
བག་ལ་ཉལ	随眠	16	宝性论大疏、极广胜乘中观决定
ཐེག་པ་གསུམ	三乘	16	宝性论大疏
འཇིགས་པ	怖畏	16	宝性论大疏
ཆོས་དཀོན་མཆོག	法宝	16	宝性论大疏
ལོངས་སྤྱོད་རྫོགས་པའི་སྐུ	圆满受用身	16	宝性论大疏
མི་སྲིད	不可能	15	极广胜乘中观决定
གནས་སྐབས	分位	15	宝性论大疏、极广胜乘中观决定
