藏文	汉译	频次	出处
ཉན་ཐོས་ཀྱི་ཐེག་པ	声闻乘	6	宝性论大疏
སྔ་ཕྱི	前后	6	宝性论大疏
ཕ་རོལ་ཏུ་ཕྱིན་པ	般若波罗蜜多	6	宝性论大疏
འཚང་རྒྱ་བ	成佛	6	宝性论大疏
དྲང་སྲོང་ཆེན་པོ	大仙	6	宝性论大疏
འཁོར་ལོས་བསྒྱུར་བ	转轮王	6	宝性论大疏
ལྷའི་མིག	天眼	6	宝性论大疏
རྡུལ་ཕྲ་རབ	极微尘	6	宝性论大疏
དགོས་པ	需要	6	宝性论大疏
དགེ་བའི་ལས	善业	6	宝性论大疏
ལམ་འབྲས	道果	5	宝性论大疏、极广胜乘中观决定
དཔག་མེད	无量	5	极广胜乘中观决定
བླང་དོར	取舍	5	宝性论大疏、极广胜乘中观决定
ལུང་མ་བསྟན	无记	5	极广胜乘中观决定
དེ་ལས	从彼	5	宝性论大疏、极广胜乘中观决定
དངོས་པོ	真实	5	宝性论大疏、极广胜乘中观决定
ཉི་ཤུ	二十	5	宝性论大疏、极广胜乘中观决定
ཀུན་འབྱུང	集／集谛（四谛语境，如 ཀུན་འབྱུང་བདེན་པ、ཀུན་འབྱུང་ཉིད）｜集起·烦恼总集（泛指烦恼与业之所集起）	5	宝性论大疏、极广胜乘中观决定｜人工校正｜多义
སྐྱེས་བུ	丈夫	5	宝性论大疏、极广胜乘中观决定
མངོན་ཤེས	神通	5	极广胜乘中观决定
སློབ་དཔོན	阿阇黎	5	极广胜乘中观决定
རྣམ་པར་སྨིན་པ	异熟	5	宝性论大疏、极广胜乘中观决定
སྒྲུབ་བྱེད	能成	5	宝性论大疏、极广胜乘中观决定
མངོན་སུམ	现量	5	宝性论大疏、极广胜乘中观决定
དབང་ཤེས	根识	5	宝性论大疏、极广胜乘中观决定
ལས་འབྲས	业果	5	宝性论大疏、极广胜乘中观决定
བསམ་གཏན	禅定	5	极广胜乘中观决定
རྗེས་ཐོབ	后得	5	宝性论大疏、极广胜乘中观决定
ཀུན་རྫོབ་བདེན་པ	世俗谛	5	宝性论大疏、极广胜乘中观决定
ངན་འགྲོ	恶趣	5	宝性论大疏、极广胜乘中观决定
འཁྲུལ་བ	迷乱	5	极广胜乘中观决定
གཟུང་བ	所取	5	宝性论大疏、极广胜乘中观决定
འདུས་བྱས	有为法	5	宝性论大疏、极广胜乘中观决定
དབང་བསྒྱུར	自在	5	宝性论大疏、极广胜乘中观决定
འཁོར་གསུམ	三轮	5	宝性论大疏、极广胜乘中观决定
ལོག་ལྟ	邪见	5	宝性论大疏、极广胜乘中观决定
ཐོབ་པ	成就	5	宝性论大疏、极广胜乘中观决定
བརྗོད་པ	所说	5	宝性论大疏、极广胜乘中观决定
གསལ་བ	显明	5	宝性论大疏、极广胜乘中观决定
སེམས་བསྐྱེད	发心	5	宝性论大疏、极广胜乘中观决定
དམ་ཆོས	正法	5	宝性论大疏
དགོངས་པ	深密	5	宝性论大疏
དོན་དུ	为了	5	宝性论大疏
ཉན་ཐོས་ཀྱི་བྱང་ཆུབ	声闻菩提	5	宝性论大疏
རྒྱུ་གཉིས	二因	5	宝性论大疏
སོ་སོ	不同	5	宝性论大疏
རྗེས་ཐོབ	后得智	5	宝性论大疏
རང་སྟོབས	自力	5	宝性论大疏
འདི་ནི	此乃	5	宝性论大疏
མངའ་བ	具有	5	宝性论大疏
འགྲུབ་པ	成就	5	宝性论大疏
ལྷན་ཅིག་བྱེད་རྐྱེན	俱有缘	5	宝性论大疏
བྱང་ཆུབ་ཀྱི་ཤིང	菩提树	5	宝性论大疏
དེ་ལྟ་ན	若尔	5	宝性论大疏
མི་གཙང་བ	不净	5	宝性论大疏
རིམ་པ་བཞིན	如其次第	5	宝性论大疏
མཚན་མ་མེད་པ	无相	5	宝性论大疏
གང་ཟག་གི་བདག་མེད	补特伽罗无我	5	宝性论大疏
འགལ་རྐྱེན	违缘	5	宝性论大疏
མི་འཇིགས་པ་བཞི	四无畏	5	宝性论大疏
མི་ལྡོག་པ	不退	5	宝性论大疏
ལྷུན་གྱིས་གྲུབ་པ	任运	5	宝性论大疏
རྟེན་འབྲེལ་ཡན་ལག་བཅུ་གཉིས	十二缘起支	5	宝性论大疏
འཇིག་རྟེན་ལས་འདས་པ	出世间	5	宝性论大疏
ནུས་པ	功用	5	宝性论大疏
གནོད་པ	损害	5	宝性论大疏
དུས་མཉམ་དུ	同时	5	宝性论大疏
ཉན་ཐོས་འཕགས་པ	声闻圣者	5	宝性论大疏
བྱེད་ལས	作业	5	宝性论大疏
མོས་པ	希求	5	宝性论大疏
འཁོར་བ	世间	5	宝性论大疏
རྟོགས་པའི་ཆོས	证法	5	宝性论大疏
གསང་བ	秘密	5	宝性论大疏
གནས་འགྱུར	转依	5	宝性论大疏
ཇི་ལྟར	犹如	5	宝性论大疏
མུ་སྟེགས་པ	外道	5	宝性论大疏
སྐུར་འདེབས	损减	5	宝性论大疏
ཡོན་ཏན་ལྔ	五德	5	宝性论大疏
དགའ་ལྡན	喜足天	5	宝性论大疏
སྒྲ་བརྙན	回响	5	宝性论大疏
ཀུན་མཁྱེན	遍知	4	宝性论大疏、极广胜乘中观决定
བླ་མེད	无上	4	宝性论大疏、极广胜乘中观决定
མི་འགྱུར་བ	不变	4	宝性论大疏、极广胜乘中观决定
ངེས་འབྱུང	出离	4	宝性论大疏、极广胜乘中观决定
མཚོན་བྱ	所表	4	极广胜乘中观决定
སྐྱེས་བུ	士夫	4	宝性论大疏、极广胜乘中观决定
དམྱལ་བ	地狱	4	宝性论大疏、极广胜乘中观决定
ཀུན་ཁྱབ	周遍	4	极广胜乘中观决定
མངོན་པར་གྲུབ་པ	成就	4	宝性论大疏、极广胜乘中观决定
རིག་པར་བྱ	所知	4	宝性论大疏、极广胜乘中观决定
འགྲོ་བ	世间	4	宝性论大疏、极广胜乘中观决定
རྒྱ་མཚོ	大海	4	宝性论大疏、极广胜乘中观决定
མཐའ་མེད	无边	4	宝性论大疏、极广胜乘中观决定
སྲིད་པའི་ཡན་ལག	有支	4	宝性论大疏、极广胜乘中观决定
དུས་གསུམ	三世	4	宝性论大疏、极广胜乘中观决定
ཡིད་ཤེས	意识	4	极广胜乘中观决定
ཐལ་འགྱུར	应成	4	宝性论大疏、极广胜乘中观决定
ཐོས་པ	听闻	4	宝性论大疏、极广胜乘中观决定
གལ་ཏེ	倘若	4	宝性论大疏、极广胜乘中观决定
ཉེ་བའི་ཉོན་མོངས་པ	随烦恼	4	宝性论大疏、极广胜乘中观决定
རྣམ་གྲངས	异名	4	宝性论大疏、极广胜乘中观决定
གནས་ངན་ལེན	粗重	4	宝性论大疏、极广胜乘中观决定
ཀུན་རྟོག	遍计	4	极广胜乘中观决定
མཚན་ཉིད་གསུམ	三性	4	宝性论大疏、极广胜乘中观决定
ཚོགས་དྲུག	六聚	4	宝性论大疏、极广胜乘中观决定
བྱེད་རྒྱུ	能作因	4	极广胜乘中观决定
བཅུ་བཞི	十四	4	宝性论大疏、极广胜乘中观决定
མི་མཐོང	不见	4	宝性论大疏、极广胜乘中观决定
དེ་ལས	颠倒	4	宝性论大疏、极广胜乘中观决定
ཆགས་བྲལ	离贪	4	宝性论大疏、极广胜乘中观决定
ཕྱི་ནང	内外	4	极广胜乘中观决定
མདོར་ན	总之	4	宝性论大疏、极广胜乘中观决定
མ་འོངས	未来	4	宝性论大疏、极广胜乘中观决定
ཡི་དྭགས	饿鬼	4	宝性论大疏、极广胜乘中观决定
མཐའ་བཞི	四边	4	宝性论大疏、极广胜乘中观决定
ཕྱི་མ	后后	4	宝性论大疏、极广胜乘中观决定
བདུན་པ	第七	4	宝性论大疏、极广胜乘中观决定
དེ་དང་དེ	彼彼	4	宝性论大疏、极广胜乘中观决定
ཆུ་ཟླ	水月	4	宝性论大疏、极广胜乘中观决定
དེ་ལས	相反	4	宝性论大疏、极广胜乘中观决定
དཔག་ཏུ་མེད་པ	无量	4	宝性论大疏、极广胜乘中观决定
མོས་སྤྱོད	胜解行	4	极广胜乘中观决定
ཇི་སྙེད	所有	4	宝性论大疏、极广胜乘中观决定
དགུ་པ	第九	4	宝性论大疏、极广胜乘中观决定
བྱང་སེམས	菩萨	4	宝性论大疏、极广胜乘中观决定
དགེ་རྩ	善根	4	宝性论大疏、极广胜乘中观决定
རྡོ་རྗེ་ལྟ་བུའི་ཏིང་ངེ་འཛིན	金刚喻定	4	宝性论大疏、极广胜乘中观决定
ཡུན་རིང	长久	4	宝性论大疏、极广胜乘中观决定
དྲང་བའི་དོན	不了义	4	宝性论大疏
སྐྱབས་འགྲོ	归依	4	宝性论大疏
ཐ་དད་པ	差别	4	宝性论大疏
སློབ་མ	弟子	4	宝性论大疏
བཞི་པོ	四者	4	宝性论大疏
ཐོག་མར	最初	4	宝性论大疏
ཐོབ་པ	获得	4	宝性论大疏
འཇིག་རྟེན་ལས་འདས་པའི་ལམ	出世间道	4	宝性论大疏
དེ་ལ་བརྟེན་ནས	由此	4	宝性论大疏
རེ་ཤིག	暂时	4	宝性论大疏
ལྟ་ཅི་སྨོས	何况	4	宝性论大疏
ཉེར་ལེན་གྱི་རྒྱུ	近取因	4	宝性论大疏
བྱང་ཆུབ་སེམས་དཔའི་ས	菩萨地	4	宝性论大疏
ཚད་མེད	无量	4	宝性论大疏
རིགས་པ	正理	4	宝性论大疏｜人工校正
མི་འགལ་བ	不相违	4	宝性论大疏
ཕྲ་རགས	粗细	4	宝性论大疏
དགེ་བའི་ཆོས	善法	4	宝性论大疏
ལྟ་བ	见／见解（中性，如 དབུ་མའི་ལྟ་བ「中观见」）｜邪见（仅限 ལོག་ལྟ 等贬义复合）	4	宝性论大疏｜人工校正｜多义
བརྩེ་བ	悲悯	4	宝性论大疏
བྱ་བ	所谓	4	宝性论大疏
ཤེས་རབ	自相	4	宝性论大疏
ལོག་རྟོག	邪分别	4	宝性论大疏
དམ་བཅའ	立宗	4	宝性论大疏
འཕགས་པ	声闻圣者	4	宝性论大疏
འཇིག་རྟེན་ལས་འདས	圣者	4	宝性论大疏
ཐུན་མོང་མ་ཡིན་པ	不共	4	宝性论大疏
ཅིག་ཅར	同时	4	宝性论大疏
ཀུན་རྫོབ་བྱང་ཆུབ་ཀྱི་སེམས	世俗菩提心	4	宝性论大疏
རང་སངས་རྒྱས་ཀྱི་ཐེག་པ	独觉乘	4	宝性论大疏
བསྔོ་བ	回向	4	宝性论大疏
བསྟན་བཅོས	经论	4	宝性论大疏
ལུང་གི་ཆོས	教法	4	宝性论大疏
འདི་ལྟ་སྟེ	如是	4	宝性论大疏
སྤྱོད་པ	行／行持（事业=ཕྲིན་ལས/མཛད་པ）	4	宝性论大疏｜人工校正
གཤེགས་པ	如来	4	宝性论大疏
ལྡན་པ	相应	4	宝性论大疏
གང་དག	诸凡	4	宝性论大疏
ནམ་མཁའ་མཛོད	虚空藏	4	宝性论大疏
སྣོད་ཀྱི་འཇིག་རྟེན	器世间	4	宝性论大疏
སྨིན་པ	成熟	4	宝性论大疏
ཁྱད་པར་ཅན	殊胜	4	宝性论大疏
ཤེས་པ	知晓	4	宝性论大疏
གསེར་གྱི་གཟུགས	金像	4	宝性论大疏
ཟག་པ་ཟད་པ	漏尽	4	宝性论大疏
འཇིག་པའི་ཆོས	坏法	4	宝性论大疏
ཇི་ལྟར	如同	4	宝性论大疏
རང་གི་ངང	自然	4	宝性论大疏
འདོད་ཁམས	欲界	4	宝性论大疏
བྱང་ཆུབ་མཆོག	大菩提	4	宝性论大疏
རྫོགས་སོ	圆满	4	宝性论大疏
ཡབ་སྲས	父子	4	宝性论大疏
ཁྱབ་བདག	遍主	4	宝性论大疏
བག་མེད	放逸	4	宝性论大疏
ཕན་གནོད	损益	4	宝性论大疏
ཕྱག་འཚལ	敬礼	3	宝性论大疏、极广胜乘中观决定
ཚུལ་ཁྲིམས	戒律	3	宝性论大疏、极广胜乘中观决定
ང་རྒྱལ	我慢	3	宝性论大疏、极广胜乘中观决定
ཀླུ་སྒྲུབ	龙树	3	极广胜乘中观决定
ཤིང་རྟ	大车	3	宝性论大疏、极广胜乘中观决定
སྒྲིབ་པ	障蔽	3	宝性论大疏、极广胜乘中观决定
རྟག་ཆད	常断	3	极广胜乘中观决定
བདག་གཞན	自他	3	宝性论大疏、极广胜乘中观决定
ཆོས་ཁམས	法界	3	宝性论大疏、极广胜乘中观决定
འདོད་ཆགས	贪欲	3	宝性论大疏、极广胜乘中观决定
འགྱུར་བ	变化·变异·无常·成为（一般语境）｜能变·转变（pariṇāma·唯识三能变语境）·随语境	3	宝性论大疏、极广胜乘中观决定｜他空品四校订本｜人工校正｜多义
རྗོད་བྱེད	能诠	3	宝性论大疏、极广胜乘中观决定
མང་པོ	众多	3	宝性论大疏、极广胜乘中观决定
ཐུན་མོང	共通	3	极广胜乘中观决定
མདོར་བསྡུས	略摄	3	宝性论大疏、极广胜乘中观决定
ཟག་མེད	无漏	3	宝性论大疏、极广胜乘中观决定
ཡིད་ཀྱི་ལུས	意生身	3	极广胜乘中观决定
ཤེས་པ	智慧	3	极广胜乘中观决定
རིན་ཆེན	珍宝	3	宝性论大疏、极广胜乘中观决定
སྒྱུ་མ	如幻者	3	极广胜乘中观决定
ཆ་ཤས	支分	3	极广胜乘中观决定
ནད་མེད	无病	3	宝性论大疏、极广胜乘中观决定
དེ་ལྟར	如此	3	极广胜乘中观决定
ཉོན་ཡིད	染污意	3	极广胜乘中观决定
ལུས་སེམས	身心	3	宝性论大疏、极广胜乘中观决定
ཕན་ཚུན	互相	3	极广胜乘中观决定
མཚན་མེད	无相	3	极广胜乘中观决定
གཉིས་པོ	二者	3	宝性论大疏、极广胜乘中观决定
དེ་ཉིད	本身	3	宝性论大疏、极广胜乘中观决定
བདེ་སྡུག	苦乐	3	宝性论大疏、极广胜乘中观决定
བསྐྱེད་བྱ	所生	3	宝性论大疏、极广胜乘中观决定
ཐར་བ	解脱	3	极广胜乘中观决定
རྨོངས་པ	愚痴	3	宝性论大疏、极广胜乘中观决定
ཀུན་འགྲོ	遍行	3	极广胜乘中观决定
བྱ་བ	作用	3	宝性论大疏、极广胜乘中观决定
རེས་འགའ	一类	3	宝性论大疏、极广胜乘中观决定
ལྟ་བ	观察	3	宝性论大疏、极广胜乘中观决定
ཡོ་བྱད	资具	3	宝性论大疏、极广胜乘中观决定
བཤེས་གཉེན	善知识	3	宝性论大疏、极广胜乘中观决定
ཆོས་ཀྱི་བདག་འཛིན	法我执	3	宝性论大疏、极广胜乘中观决定
ཚོགས་པ	聚合	3	宝性论大疏、极广胜乘中观决定
འདས་པ	过去	3	宝性论大疏、极广胜乘中观决定
དགག་བྱ	所遮	3	宝性论大疏、极广胜乘中观决定
ཡང་དག་ཀུན་རྫོབ	正世俗	3	宝性论大疏、极广胜乘中观决定
མིག་ཡོར	障眼	3	极广胜乘中观决定
བརྟན་པོ	坚固	3	宝性论大疏、极广胜乘中观决定
རིགས་གཉིས	二种	3	宝性论大疏、极广胜乘中观决定
སྡིག་གྲོགས	恶友	3	宝性论大疏、极广胜乘中观决定
དེ་ནས	此后	3	极广胜乘中观决定
རྒྱལ་སྲས	佛子	3	宝性论大疏、极广胜乘中观决定
འདྲ་བ	相同	3	宝性论大疏、极广胜乘中观决定
སྤྱོད་ལམ	威仪	3	宝性论大疏、极广胜乘中观决定
ལྷག་མེད	无余	3	宝性论大疏、极广胜乘中观决定
ལུང་སྟོན	授记	3	宝性论大疏、极广胜乘中观决定
རྫོགས་པ	成就	3	宝性论大疏、极广胜乘中观决定
མཆོད་པ	供养	3	宝性论大疏、极广胜乘中观决定
སྤྲུལ་པ	化身	3	宝性论大疏、极广胜乘中观决定
འཇིག་པ	坏灭	3	宝性论大疏、极广胜乘中观决定
ཚངས་པ	清净／纯净（形容或动词，如 གཙང་དག 净化）｜梵·梵天（名词，五乘之梵乘 ཚངས་པའི་ཐེག་པ、色界梵天 Brahma）	3	宝性论大疏、极广胜乘中观决定｜人工校正｜多义
བརྩོན་པ	精进	3	宝性论大疏、极广胜乘中观决定
བདག་ཅག	我等	3	宝性论大疏、极广胜乘中观决定
བློ་གྲོས	智慧	3	宝性论大疏
ཕྱི་རབས	后代	3	宝性论大疏
ད་ལྟར	现在	3	宝性论大疏
དོན་དམ་པའི་ཆོས	胜义法	3	宝性论大疏
ཡང་དག་པའི་ལྟ་བ	正见	3	宝性论大疏
ཐོས་པའི་ཤེས་རབ	闻慧	3	宝性论大疏
སྐྱེ་བ	出生	3	宝性论大疏
ཕ་རོལ་ཏུ་ཕྱིན་པ	究竟	3	宝性论大疏
མ་འོངས་པ	未来	3	宝性论大疏
འདུས་པ	集会	3	宝性论大疏
སྟོང་གསུམ	世界	3	宝性论大疏
གླིང་བཞི	四洲	3	宝性论大疏
འོད་ཟེར	放光	3	宝性论大疏
རྣམ་པར་ཐར་པའི་སྒོ	解脱门	3	宝性论大疏
མཁྱེན་པ	了知／照知（动词·佛圣之"知"，如 ཡེ་ཤེས་ཀྱིས་མཁྱེན་པ 以佛智知）｜智（作名词时）｜勿一律作"智慧"	3	他空中观品三自证一切相校订本｜人工校正｜多义
གདོད་མ་ནས	本来	3	宝性论大疏
ཆེན་པོ	大	3	宝性论大疏｜人工校正
རྒྱུ་མཚན་ཡང་དག	正因	3	宝性论大疏
ཆགས་པ	贪着	3	宝性论大疏
དམན་པ	下劣	3	宝性论大疏
ཆེད་དུ་བྱ་བ	专为	3	宝性论大疏
ཆོ་འཕྲུལ	神变	3	宝性论大疏
ཕྲ་བ	微细	3	宝性论大疏
དམུས་ལོང	生盲	3	宝性论大疏
འཆད་པ	解说	3	宝性论大疏
ཇི་སྐད	所谓	3	宝性论大疏
སྐྱེ་བ་མེད་པ	无生	3	宝性论大疏
མན་ཆད་དུ	以下	3	宝性论大疏
གང་ཡང	随一	3	宝性论大疏
སྤངས་རྟོགས	断证（断·证二分；如 སྤངས་རྟོགས་མཐར་ཐུག「断证究竟」；勿与 ཡོན་ཏན 功德混同）	3	他空中观品三觉义一切相校订本｜人工校正
འདོད་ཆགས་དང་བྲལ་བ	离贪	3	宝性论大疏
བརྗོད་པ	诠说	3	宝性论大疏
སྡུག་པ	可爱	3	宝性论大疏
གང་ཟག་གི་བདག་འཛིན	补特伽罗我执	3	宝性论大疏
ཅིག་ཤོས	反面	3	宝性论大疏
འོག་མ	差别	3	宝性论大疏
ཇི་སྙེད་ཡོད་པ	尽所有	3	宝性论大疏
ཐམས་ཅད	所有	3	宝性论大疏
རྫུ་འཕྲུལ	神变	3	宝性论大疏
སྐྱབས་གསུམ	三宝	3	宝性论大疏
ལྷ་མ་ཡིན	非天	3	宝性论大疏
ཁྱབ་པ་འདུ་བྱེད་ཀྱི་སྡུག་བསྔལ	遍行苦	3	宝性论大疏
སྐྱབས་གསུམ	三归依	3	宝性论大疏
ལྷག་མེད་མྱང་འདས	无余涅槃	3	宝性论大疏
ཉན་ཐོས་ཀྱི་ལམ	声闻道	3	宝性论大疏
མི་གནས་པ	不住	3	宝性论大疏
བླ་ན་མེད་པ	无上正等菩提	3	宝性论大疏
ཟག་པ	染污	3	宝性论大疏
སངས་རྒྱས་པ	成佛	3	宝性论大疏
འདོད་པ	欲／欲求（欲界=འདོད་ཁམས）	3	宝性论大疏｜人工校正
དགེ་བའི་བཤེས་གཉེན	善知识	3	宝性论大疏
དག་པ་གཉིས་ལྡན	具二清净（自性清净＋离垢清净二者具足；rnam dag gnyis ldan，勿误作「所知」）	3	他空中观品三界义校订本｜人工校正
རྣམ་མཁྱེན	遍智	3	宝性论大疏
ངེས་དོན་གྱི་མདོ་སྡེ	了义经	3	宝性论大疏
ཅེ་ན	若谓	3	宝性论大疏
མི་འགྱུར་བ	虚空	3	宝性论大疏
གཞན་དུ་ན	否则	3	宝性论大疏
ཐེག་ཆེན་སེམས་བསྐྱེད	大乘发心	3	宝性论大疏
འདུན་པ	希求	3	宝性论大疏
མདོ་སྡེ་རྒྱན	经庄严论	3	宝性论大疏
འཕེལ་བ	增长	3	宝性论大疏
གོ་འཕང	佛位	3	宝性论大疏
འཚང་རྒྱ་ངེས	定成佛	3	宝性论大疏
ཐ་དད་པ	不同	3	宝性论大疏
རོ་གཅིག	一味	3	宝性论大疏
འདུས་མ་བྱས	如虚空	3	宝性论大疏
མེ་གསུམ	三火	3	宝性论大疏
ཆུའི་དཀྱིལ་འཁོར	水轮	3	宝性论大疏
སྙོམས་པར་ཞུགས་པ	入定	3	宝性论大疏
རྟོགས་པའི་ཡོན་ཏན	证功德	3	宝性论大疏
ཚང་བ	圆满	3	宝性论大疏
སྦྱིན་པ	布施	3	宝性论大疏
སྦུན་པ	糠秕	3	宝性论大疏
བདེ་བ	之中	3	宝性论大疏
ཀུན་མཁྱེན	遍智	3	宝性论大疏
ས་འོག	地下	3	宝性论大疏
རྣམ་གྲོལ་ལམ	解脱道	3	宝性论大疏
བདག་ཉིད་ཆེན་པོ	大主宰	3	宝性论大疏
རྒྱུ་མཐུན་གྱི་འབྲས་བུ	等流果	3	宝性论大疏
དེས་ན	是故	3	宝性论大疏
འཁོར་འདས	生死涅槃	3	宝性论大疏
ལག་རྗེས	成就	3	宝性论大疏
ཉི་མ	日光	3	宝性论大疏
སྒྲ་གཅན	罗睺	3	宝性论大疏
རྣལ་འབྱོར་བ	瑜伽师	3	宝性论大疏
མཐར་ཕྱིན་པའི་བྱང་ཆུབ་སེམས་དཔའ	究竟菩萨	3	宝性论大疏
བླ་མ	师长	3	宝性论大疏
འཇིག་རྟེན་པ	世人	3	宝性论大疏
བརྒྱ་བྱིན	天王	3	宝性论大疏
ལྷའི་དབང་པོ	天王	3	宝性论大疏
སྐལ་ལྡན	有缘	3	宝性论大疏
གཞི་གསུམ	三事	3	宝性论大疏
གྲུབ་མཐའ	宗派	3	宝性论大疏
གང་ཞིག	凡彼	2	宝性论大疏、极广胜乘中观决定
ཕྲིན་ལས	事业	2	宝性论大疏、极广胜乘中观决定
གྲུབ་མཐའ	悉檀	2	极广胜乘中观决定
སྤངས་པ	断除	2	宝性论大疏、极广胜乘中观决定
འདའ་བ	出离超越	2	宝性论大疏、极广胜乘中观决定｜人工校正
སངས་རྒྱས	佛陀	2	宝性论大疏、极广胜乘中观决定
གཡོ་སྒྱུ	谄诳	2	宝性论大疏、极广胜乘中观决定
གནས་སྐབས	阶段	2	极广胜乘中观决定
ཞི་ལྷག	止观	2	极广胜乘中观决定
སྤྱི་ལྡོག	总别	2	极广胜乘中观决定
ཡིད་ཀྱི་སྐྱེ་མཆེད	意处	2	极广胜乘中观决定
འབྱུང་བ	大种	2	极广胜乘中观决定
ཁྲ་བོ	杂色	2	极广胜乘中观决定
སྣ་ཚོགས	多种	2	极广胜乘中观决定
དངོས་པོ	本身	2	极广胜乘中观决定
བྱིས་པ	凡夫	2	极广胜乘中观决定
ཐེག་དམན	小乘	2	宝性论大疏、极广胜乘中观决定
གཅིག་ཉིད	唯一	2	极广胜乘中观决定
ཕལ་ཆེར	大多数	2	极广胜乘中观决定
སྡུག་བསྔལ་བདེན་པ	苦谛	2	极广胜乘中观决定
གཟུགས་མེད་ཁམས	无色界	2	极广胜乘中观决定
འདོད་ཡོན	妙欲	2	极广胜乘中观决定
སེམས་བྱུང	心所	2	宝性论大疏、极广胜乘中观决定
སྡུག་བསྔལ་གྱི་སྡུག་བསྔལ	苦苦	2	极广胜乘中观决定
འཕགས་པའི་བདེན་པ	圣谛	2	宝性论大疏、极广胜乘中观决定
ཟུང་འཇུག	双运	2	宝性论大疏、极广胜乘中观决定
རྣམ་པ	方式	2	极广胜乘中观决定
གོམས་པ	修习	2	宝性论大疏、极广胜乘中观决定
རེ་རེ	各个	2	极广胜乘中观决定
ཚེ་རིང	长寿	2	宝性论大疏、极广胜乘中观决定
རྣམ་ཤེས་ཚོགས་བརྒྱད	八识	2	极广胜乘中观决定
ཡིན་མོད	虽是	2	宝性论大疏、极广胜乘中观决定
ཀུན་གཞིའི་རྣམ་ཤེས	阿赖耶识	2	极广胜乘中观决定
ཤེས་པ	根识	2	宝性论大疏、极广胜乘中观决定
བྱེད་པོ	大梵	2	极广胜乘中观决定
དེ་འོག	其后	2	极广胜乘中观决定
རེས་འགའ	有时	2	极广胜乘中观决定
དུས་གཅིག	一时	2	宝性论大疏、极广胜乘中观决定
སྔ་ཕྱི	先后	2	宝性论大疏、极广胜乘中观决定
ནུས་མེད	无能	2	极广胜乘中观决定
བདག་འཛིན	我执	2	宝性论大疏、极广胜乘中观决定
གསར་རྙིང	新旧	2	极广胜乘中观决定
དགེ་ཆོས	善法	2	极广胜乘中观决定
སྣང་བརྙན	影像	2	极广胜乘中观决定
དངོས་པོ	事物	2	宝性论大疏、极广胜乘中观决定
བཅུ་གཅིག	十一	2	宝性论大疏、极广胜乘中观决定
ཡོངས་གྲུབ	圆成实	2	极广胜乘中观决定｜人工校正
རྣམ་གཡེང	散乱	2	宝性论大疏、极广胜乘中观决定
དབང་པོ་ལྔ	五根	2	极广胜乘中观决定
མཐོ་རིས	善趣	2	宝性论大疏、极广胜乘中观决定
དྭངས་པ	澄净	2	极广胜乘中观决定
གཟུགས་བརྙན	相同	2	宝性论大疏、极广胜乘中观决定
དེ་དག	彼二	2	宝性论大疏、极广胜乘中观决定
རིག་པ	证知／觉知（自证·心识语境，"能知"义，如 རང་རིག 自证）｜明觉／觉性（心性·如来藏语境，如 རིག་པའི་དོན 觉义）｜勿一律作"智慧"，智慧用 ཡེ་ཤེས	2	他空中观品三自证一切相校订本｜人工校正｜多义
འོན་ཀྱང	然而	2	宝性论大疏、极广胜乘中观决定
གཞན་དབང་གཉིས	依他起	2	极广胜乘中观决定
མཐུ་སྟོབས	威德	2	极广胜乘中观决定
རྟག་པ	常法	2	极广胜乘中观决定
ངོ་བོ་ཉིད	本性	2	宝性论大疏、极广胜乘中观决定
ལྷན་ཅིག	共同	2	极广胜乘中观决定
བྱེད་པ	能作	2	宝性论大疏、极广胜乘中观决定
དེ་མ་ཐག་རྐྱེན	无间缘	2	宝性论大疏、极广胜乘中观决定
དམིགས་རྐྱེན	所缘缘	2	宝性论大疏、极广胜乘中观决定
ཇི་ལྟར	何故	2	极广胜乘中观决定
ཕྱིན་ཅི་ལོག་པ	颠倒	2	宝性论大疏、极广胜乘中观决定
ཕུང་པོ་ལྔ	五蕴	2	极广胜乘中观决定
མཆོད་སྦྱིན	供施	2	宝性论大疏、极广胜乘中观决定
དུད་འགྲོ	旁生	2	宝性论大疏、极广胜乘中观决定
རྡུལ་ཕྲན	微尘	2	宝性论大疏、极广胜乘中观决定
རྗེས་དཔག	比量	2	极广胜乘中观决定
ངེས་པ	真实	2	宝性论大疏、极广胜乘中观决定
ལྟ་སྤྱོད	见行	2	宝性论大疏、极广胜乘中观决定
རྒྱལ་སྲས	菩萨	2	宝性论大疏、极广胜乘中观决定
སྨིག་རྒྱུ	阳焰	2	极广胜乘中观决定
ཡང་དག་མཐའ	法界	2	极广胜乘中观决定
ལྷག་མ	其余	2	极广胜乘中观决定
རྒྱུ་གསུམ	三因	2	宝性论大疏、极广胜乘中观决定
ཞི་གནས	寂止	2	极广胜乘中观决定
ལྷག་མཐོང	胜观	2	宝性论大疏、极广胜乘中观决定
བརྟུལ་ཞུགས	禁行	2	宝性论大疏、极广胜乘中观决定
ཤེས་བཞིན	正知	2	极广胜乘中观决定
བག་ཡོད	不放逸	2	宝性论大疏、极广胜乘中观决定
དེ་ནས	其次	2	宝性论大疏、极广胜乘中观决定
བསྙེན་བཀུར	承事	2	宝性论大疏、极广胜乘中观决定
ལས་རུང	堪能	2	宝性论大疏、极广胜乘中观决定
གདམས་ངག	教诫	2	宝性论大疏、极广胜乘中观决定
སྙོམས་འཇུག	等至	2	极广胜乘中观决定
